CID,카테고리명,KDC분류,KDC분류명
1230,가정/요리/뷰티,59,가정학
90452,가계부,59,가정학
53471,건강요리,51,의학
53489,결혼/가족,59,가정학
53513,가정의례,59,가정학
53511,가족관계,59,가정학
53509,결혼생활,59,가정학
53510,부부관계,59,가정학
53512,성생활,59,가정학
53476,나라별 요리,59,가정학
53495,기타국가 요리,59,가정학
53493,이탈리아 요리,59,가정학
53491,일본요리,59,가정학
53492,중국요리,59,가정학
53494,프랑스 요리,59,가정학
53490,한국요리,59,가정학
53474,다이어트 요리,59,가정학
53478,도시락,59,가정학
53480,디저트,59,가정학
53485,뜨개질/바느질/DIY,59,가정학
53500,뜨개질/퀼트/십자수/바느질,59,가정학
53502,선물포장/리본/비즈,59,가정학
53503,종이접기/종이공예,59,가정학
53501,패션/소품/DIY,59,가정학
53473,사찰요리,59,가정학
53484,살림/정리수납,59,가정학
53479,샐러드/샌드위치,59,가정학
53472,생활요리,59,가정학
53482,술/음료/차,59,가정학
53497,다도/차,59,가정학
53496,술,59,가정학
53499,음료,59,가정학
53498,커피,59,가정학
53487,원예/조경/텃밭,59,가정학
53483,음식 이야기,59,가정학
53477,이유식,59,가정학
53475,전문가/연예인/블로거 요리,59,가정학
53481,제과제빵,59,가정학
53486,집/인테리어,59,가정학
90456,인테리어,59,가정학
90455,집짓기,59,가정학
53488,패션/뷰티,59,가정학
53507,네일/페디,59,가정학
53504,메이크업,59,가정학
53506,스타일/패션,59,가정학
53508,피부미용,59,가정학
53505,헤어,59,가정학
55890,건강/취미/레저,69,오락/스포츠
53516,건강운동,69,오락/스포츠
53537,걷기,69,오락/스포츠
53538,기/단학,18,심신수련/명상
53539,기타운동,69,오락/스포츠
53536,요가/체조/스트레칭,69,오락/스포츠
53521,건강정보,69,오락/스포츠
53562,건강에세이/건강정보,69,오락/스포츠
55182,기타,69,오락/스포츠
53558,남성건강,69,오락/스포츠
53719,노인건강,69,오락/스포츠
53560,두뇌건강,69,오락/스포츠
53561,성클리닉,69,오락/스포츠
53559,아동건강,69,오락/스포츠
53557,여성건강,69,오락/스포츠
53556,음식과 건강,69,오락/스포츠
53805,지압/마사지,69,오락/스포츠
53522,걷기/육상스포츠,69,오락/스포츠
53524,골프,69,오락/스포츠
53532,공예,69,오락/스포츠
53568,뜨개질/퀼트/십자수/바느질,69,오락/스포츠
53570,선물포장/리본/비즈,69,오락/스포츠
53571,종이접기/종이공예,69,오락/스포츠
53569,패션/소품/DIY,69,오락/스포츠
53525,구기,69,오락/스포츠
54711,기타,69,오락/스포츠
54709,농구,69,오락/스포츠
54710,야구,69,오락/스포츠
54708,축구,69,오락/스포츠
161753,글씨 쓰기,69,오락/스포츠
53528,낚시,69,오락/스포츠
53514,다이어트,69,오락/스포츠
53520,대체의학,51,의학
53529,등산/캠핑,69,오락/스포츠
53526,무예/무술,69,오락/스포츠
53530,바둑/장기,69,오락/스포츠
53534,반려동물,69,오락/스포츠
53523,수영/수상스포츠,69,오락/스포츠
147647,스티커북,69,오락/스포츠
53527,스포츠/레저 기타,69,오락/스포츠
53567,기타,69,오락/스포츠
53566,댄스/무용,69,오락/스포츠
53565,스키/스노보드,69,오락/스포츠
53564,인라인/자전거,69,오락/스포츠
53533,원예,69,오락/스포츠
53573,꽃꽂이,69,오락/스포츠
53574,채소재배,69,오락/스포츠
53572,화훼,69,오락/스포츠
140262,재난/생존/서바이벌,69,오락/스포츠
53517,정신건강,51,의학
53518,질병치료와 예방,51,의학
53540,간,51,의학
53541,고혈압,51,의학
53552,금연/금주/약물중독,51,의학
53718,기타질병,51,의학
53543,눈/코/입/귀,51,의학
53544,당뇨병,51,의학
53545,변비/치질,51,의학
53553,비뇨기,51,의학
53542,심장병,51,의학
53546,암,51,의학
53547,위장병,51,의학
53554,정신질환,51,의학
53548,중풍과 치매,51,의학
53551,탈모,51,의학
53549,피부병,51,의학
53550,허리/디스크/척추/통증,51,의학
53535,취미기타,69,오락/스포츠
53578,기타,69,오락/스포츠
53575,사진/비디오 촬영,66,사진술
53577,상식,69,오락/스포츠
53576,서예,64,서예
114987,컬러링북,69,오락/스포츠
53531,퍼즐/스도쿠/퀴즈,69,오락/스포츠
53519,한의학,51,의학
53515,헬스/피트니스,69,오락/스포츠
170,경제경영,32,경제학
3057,경제학/경제일반,32,경제학
3059,경제사/경제전망,32,경제학
3060,세계 경제사/경제전망,32,경제학
3062,아시아 경제사/경제전망,32,경제학
3058,한국 경제사/경제전망,32,경제학
8586,경제이론/경제사상,32,경제학
3065,경제이야기,32,경제학
3140,경제정책/비평,32,경제학
8587,화폐/금융/재정,32,경제학
2172,기업 경영,32,경제학
3103,경영 일반,32,경제학
2173,경영전략/혁신,32,경제학
274,무역,32,경제학
284,생산/품질/물류관리,32,경제학
